พ.ศ.,เม.ย.,พ.ค.,มิ.ย.,ก.ค.,ส.ค.,ก.ย.,ต.ค.,พ.ย.,ธ.ค.,ม.ค.,ก.พ.,มี.ค.,"รวม
(ล้าน ลบ.ม.)",station_id,station_name,source_file
2540,,,,,,,,,,,,,,P.17,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี P.17 บ้านท่างิ ว อ.บรรพตพิสัย จ.นครสวรรค์,trend_P.17.pdf
2541,48.38,465.61,217.59,206.97,350.33,366.94,342.97,296.62,192.29,194.94,272.37,227.23,"3,182.25",P.17,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี P.17 บ้านท่างิ ว อ.บรรพตพิสัย จ.นครสวรรค์,trend_P.17.pdf
2542,159.28,549.05,373.84,127.65,206.29,518.30,"1,678.68","1,684.35",135.85,168.58,435.39,539.65,"6,576.89",P.17,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี P.17 บ้านท่างิ ว อ.บรรพตพิสัย จ.นครสวรรค์,trend_P.17.pdf
2543,541.66,652.84,609.51,275.56,768.80,969.70,"1,405.34",663.29,364.05,523.87,707.41,776.07,"8,258.09",P.17,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี P.17 บ้านท่างิ ว อ.บรรพตพิสัย จ.นครสวรรค์,trend_P.17.pdf
2544,720.18,"1,227.10",815.65,422.36,900.97,633.07,"1,153.48","1,507.38",461.35,493.79,634.80,908.98,"9,879.11",P.17,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี P.17 บ้านท่างิ ว อ.บรรพตพิสัย จ.นครสวรรค์,trend_P.17.pdf
2545,718.07,704.05,385.46,405.01,371.04,"2,406.27","1,266.04","2,081.92","1,128.08",706.89,808.07,"1,001.76","11,982.67",P.17,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี P.17 บ้านท่างิ ว อ.บรรพตพิสัย จ.นครสวรรค์,trend_P.17.pdf
2546,859.93,"1,160.02","1,061.68",732.30,643.43,"1,165.70",807.48,708.49,729.79,649.48,662.82,677.94,"9,859.07",P.17,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี P.17 บ้านท่างิ ว อ.บรรพตพิสัย จ.นครสวรรค์,trend_P.17.pdf
2547,600.04,589.45,445.50,575.12,658.74,804.03,406.59,457.12,309.82,447.95,404.63,428.62,"6,127.61",P.17,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี P.17 บ้านท่างิ ว อ.บรรพตพิสัย จ.นครสวรรค์,trend_P.17.pdf
2548,504.63,452.84,743.41,484.58,474.04,"1,295.31","1,211.85",769.50,538.11,679.63,573.91,523.38,"8,251.19",P.17,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี P.17 บ้านท่างิ ว อ.บรรพตพิสัย จ.นครสวรรค์,trend_P.17.pdf
2549,508.65,"1,092.68","1,118.74",741.09,775.58,"2,484.62","3,461.10",523.90,818.04,835.60,703.20,743.16,"13,806.37",P.17,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี P.17 บ้านท่างิ ว อ.บรรพตพิสัย จ.นครสวรรค์,trend_P.17.pdf
